SampleID,Predator.Final,sex,Year,Month,Season,Location,SubSiteID,Complex,RegionCode,Estuary,Latitude,Longitude,Chinook,Chum,Coho,Pink,Sockeye,f
Pv16.B036,Harbour,FEMALE,2016,Jun,Summer,Sandstone,H0046,Sandstone_Rocks,SOG,Estuary,48.92029,-123.62231,0,0,0,0,0,FALSE
Pv16.B037,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B038,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B039,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B040,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B041,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B043,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B045,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B046,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,54.60328061,6.790119071,0,0,0,FALSE
Pv16.B047,Harbour,FEMALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B048,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B049,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B050,Harbour,FEMALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B051,Harbour,FEMALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B052,Harbour,FEMALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B054,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B055,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B056,Harbour,MALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B057,Harbour,FEMALE,2016,Jun,Summer,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.B058,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,24.1020794,0,0,FALSE
Pv16.B059,Harbour,FEMALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B060,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,1.180376245,0,98.81962376,0,0,FALSE
Pv16.B061,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B063,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B064,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B065,Harbour,FEMALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B067,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B068,Harbour,FEMALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B070,Harbour,FEMALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B071,Harbour,FEMALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B072,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B073,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B074,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,41.28595601,0,0,FALSE
Pv16.B075,Harbour,MALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
Pv16.B077,Harbour,FEMALE,2016,Jun,Summer,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,0,FALSE
