"sampleID","sex","Season","Location","SubSiteID","Estuary","Year","Complex","prey.name","sizeclass","count"
"Pv16.A062","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.VLG",2
"Pv16.A063","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.A063","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HERRING","SIZE.MED.LG",1
"Pv16.A063","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HERRING","SIZE.SM",1
"Pv16.A064","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.A065","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.UNDET",1
"Pv16.A065","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HERRING","SIZE.SM.MED",1
"Pv16.A066","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.A066","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",8
"Pv16.A066","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HERRING","SIZE.MED.LG",1
"Pv16.A067","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.A068","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",2
"Pv16.A068","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",3
"Pv16.A069","FEMALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",2
"Pv16.A070","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.A071","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.MED.LG",1
"Pv16.A072","MALE","Spring","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.A073","FEMALE","Spring","Miami","H0027","Non-Estuary",2016,"Miami_Islet","HERRING","SIZE.SM.MED",1
"Pv16.A075","FEMALE","Spring","Flora","H0099","Non-Estuary",2016,"Flora_Islet","HAKE","SIZE.SM.MED",5
"Pv16.A075","FEMALE","Spring","Flora","H0099","Non-Estuary",2016,"Flora_Islet","HERRING","SIZE.MED.LG",15
"Pv16.A076","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.LG",1
"Pv16.A076","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM.MED",2
"Pv16.A077","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",2
"Pv16.A079","FEMALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HAKE","SIZE.SM.MED",1
"Pv16.A079","FEMALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HERRING","SIZE.MED.LG",1
"Pv16.A080","MALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HAKE","SIZE.LG",1
"Pv16.A080","MALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HERRING","SIZE.SM",1
"Pv16.A081","FEMALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HAKE","SIZE.LG",1
"Pv16.A081","FEMALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HAKE","SIZE.SM.MED",1
"Pv16.A082","FEMALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HAKE","SIZE.LG",1
"Pv16.A082","FEMALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HAKE","SIZE.MED.LG",1
"Pv16.A084","FEMALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HAKE","SIZE.SM.MED",1
"Pv16.A084","FEMALE","Spring","Snake","H0054","Non-Estuary",2016,"Snake_Island","HERRING","SIZE.MED.LG",1
"Pv16.A086",NA,"Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.LG",1
"Pv16.A086",NA,"Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",2
"Pv16.A087","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HERRING","SIZE.MED.LG",1
"Pv16.A087","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HERRING","SIZE.SM",1
"Pv16.A088","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.VSM",1
"Pv16.A089","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.MED.LG",1
"Pv16.A089","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",1
"Pv16.A090","FEMALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.LG",1
"Pv16.A090","FEMALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.MED.LG",1
"Pv16.A090","FEMALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",1
"Pv16.A090","FEMALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HERRING","SIZE.SM",1
"Pv16.A091","FEMALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.LG",1
"Pv16.A091","FEMALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.MED.LG",1
"Pv16.A091","FEMALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",1
"Pv16.A092","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.LG",1
"Pv16.A092","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",3
"Pv16.A093","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",3
"Pv16.A093","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.VLG",1
"Pv16.A095","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",1
"Pv16.A095","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HERRING","SIZE.MED.LG",1
"Pv16.A096","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",5
"Pv16.A096","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HERRING","SIZE.MED.LG",1
"Pv16.A098","MALE","Spring","Belle Chain","H0069a","Belle Chain",2016,"Belle_Chain","HAKE","SIZE.SM.MED",10
"Pv16.A100","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.MED.LG",2
"Pv16.A100","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",1
"Pv16.B001","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",1
"Pv16.B002","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",3
"Pv16.B003","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.MED.LG",1
"Pv16.B004","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.LG",1
"Pv16.B004","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",1
"Pv16.B005","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.MED.LG",1
"Pv16.B005","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",1
"Pv16.B006","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",2
"Pv16.B007","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.LG",1
"Pv16.B007","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",1
"Pv16.B007","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HERRING","SIZE.SM.MED",1
"Pv16.B008","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.MED.LG",1
"Pv16.B008","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.VLG",1
"Pv16.B008","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HERRING","SIZE.SM.MED",1
"Pv16.B009","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.MED.LG",1
"Pv16.B009","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",1
"Pv16.B009","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.VLG",1
"Pv16.B009","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HERRING","SIZE.SM",1
"Pv16.B009","MALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HERRING","SIZE.SM.MED",1
"Pv16.B011","FEMALE","Summer","Mistaken","H0094","Non-Estuary",2016,"Northeast_Mistaken_Islet_Reefs","HAKE","SIZE.SM.MED",2
"Pv16.B012","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.B012","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.B012","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.VLG",1
"Pv16.B012","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HERRING","SIZE.SM.MED",1
"Pv16.B013","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.B015","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.B015","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.B016","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.MED.LG",1
"Pv16.B017","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.MED.LG",1
"Pv16.B018","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",2
"Pv16.B018","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",2
"Pv16.B018","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.VLG",1
"Pv16.B019","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.VLG",1
"Pv16.B021","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","SALMON","SIZE.SM.MED",1
"Pv16.B022","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.MED.LG",1
"Pv16.B023","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",4
"Pv16.B023","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",4
"Pv16.B023","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.VLG",1
"Pv16.B024","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.B025","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.LG",1
"Pv16.B026","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.MED.LG",1
"Pv16.B026","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",1
"Pv16.B026","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.VLG",1
"Pv16.B026","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HERRING","SIZE.SM.MED",1
"Pv16.B027","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.MED.LG",1
"Pv16.B027","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.SM.MED",2
"Pv16.B028","MALE","Summer","Yeo","H0092","Non-Estuary",2016,"East_Yeo_Islands_Islet","HAKE","SIZE.MED.LG",1
